date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:45:14	0/-1	---M--	302	error ('')			http://archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/%22./images.%22/pixel.gif	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/_/images._/pixel.a3d.delayed	(from http://archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/sponsoren.html)
23:45:14	0/-1	---M--	302	error ('')			http://archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/%22./images.%22/pixel.gif	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/_/images._/pixel.a3e.delayed	(from http://archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/sponsoren.html)
23:45:14	69530/69530	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2027%20Apr%202019%2021:45:13%20GMT	http://archiv.tdh-murgtal.de/aktuelles/2008/05/index.html	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktuelles/2008/05/index.html	(from http://archiv.tdh-murgtal.de/aktuelles/2008/01/index.html)
23:45:14	0/-1	---M--	302	error ('')			http://archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/%22./images.%22/pixel.gif	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/_/images._/pixel.a3f.delayed	(from http://archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/sponsoren.html)
23:45:15	2569/2569	U-----	200	untouched ('')	image/gif	etag:%22a09-444cd76258f00%22	http://archiv.tdh-murgtal.de/aktuelles/2008/01/img/logo_redhand_day.gif	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktuelles/2008/01/img/logo_redhand_day.gif	(from http://archiv.tdh-murgtal.de/aktuelles/2008/01/index.html)
23:45:15	0/-1	---M--	302	error ('')			http://archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/%22./images.%22/pixel.gif	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/_/images._/pixel.a40.delayed	(from http://archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/sponsoren.html)
23:45:15	38396/38396	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2027%20Apr%202019%2021:45:13%20GMT	http://archiv.tdh-murgtal.de/aktuelles/2008/03/index.html	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktuelles/2008/03/index.html	(from http://archiv.tdh-murgtal.de/aktuelles/2008/01/index.html)
23:45:15	61093/61093	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2027%20Apr%202019%2021:45:13%20GMT	http://archiv.tdh-murgtal.de/aktuelles/2008/04/index.html	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktuelles/2008/04/index.html	(from http://archiv.tdh-murgtal.de/aktuelles/2008/01/index.html)
23:45:15	37808/37808	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2027%20Apr%202019%2021:45:13%20GMT	http://archiv.tdh-murgtal.de/aktuelles/2008/02/index.html	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktuelles/2008/02/index.html	(from http://archiv.tdh-murgtal.de/aktuelles/2008/01/index.html)
23:45:15	0/-1	---M--	302	error ('')			http://archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/%22./images.%22/pixel.gif	W:/HTTrack/tdh-murgtal.de/archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/_/images._/pixel.a41.delayed	(from http://archiv.tdh-murgtal.de/aktivitaeten/2011/jazzhoprhythm/sponsoren.html)
